pillar,column,label,representation,tier,n,r2_baseline,lift
B,lq_emp_22,Utilities LQ,typed_sections,rich,437,0.013926190247157244,-0.006418210960218107
B,lq_emp_23,Construction LQ,lead_only,stub,239,0.018393268247116956,0.004744219087246426
B,lq_emp_23,Construction LQ,lead_only,thin,1005,0.10185607095902505,0.0008994956831185341
B,lq_emp_23,Construction LQ,lead_only,mid,608,0.14455780742078284,0.002073877174612049
B,lq_emp_23,Construction LQ,lead_only,rich,617,0.06114023931762469,0.002913714627140851
B,lq_emp_23,Construction LQ,lead_only_pca64,stub,239,0.018393268247116956,0.005104753676622442
B,lq_emp_23,Construction LQ,lead_only_pca64,thin,1005,0.10185607095902505,0.0008031622112720793
B,lq_emp_23,Construction LQ,lead_only_pca64,mid,608,0.14455780742078284,0.001988136402169438
B,lq_emp_23,Construction LQ,lead_only_pca64,rich,617,0.06114023931762469,0.0028172474617722543
B,lq_emp_23,Construction LQ,lead_only_l2,stub,239,0.018393268247116956,0.009028348973773248
B,lq_emp_23,Construction LQ,lead_only_l2,thin,1005,0.10185607095902505,-0.0017677970197970128
B,lq_emp_23,Construction LQ,lead_only_l2,mid,608,0.14455780742078284,0.004286295232911352
B,lq_emp_23,Construction LQ,lead_only_l2,rich,617,0.06114023931762469,0.0054350663870867955
B,lq_emp_23,Construction LQ,uniform,stub,239,0.018393268247116956,-0.005199118720490614
B,lq_emp_23,Construction LQ,uniform,thin,1005,0.10185607095902505,-0.0019856031798688445
B,lq_emp_23,Construction LQ,uniform,mid,608,0.14455780742078284,0.0006443483345661694
B,lq_emp_23,Construction LQ,uniform,rich,617,0.06114023931762469,-0.003007023527913044
B,lq_emp_23,Construction LQ,uniform_pca64,stub,239,0.018393268247116956,-2.0279728159100507e-05
B,lq_emp_23,Construction LQ,uniform_pca64,thin,1005,0.10185607095902505,0.0003714270811037146
B,lq_emp_23,Construction LQ,uniform_pca64,mid,608,0.14455780742078284,0.00020685642879070265
B,lq_emp_23,Construction LQ,uniform_pca64,rich,617,0.06114023931762469,0.0004008974788288766
B,lq_emp_23,Construction LQ,uniform_l2,stub,239,0.018393268247116956,-0.005804846411808451
B,lq_emp_23,Construction LQ,uniform_l2,thin,1005,0.10185607095902505,-0.0012710302248325478
B,lq_emp_23,Construction LQ,uniform_l2,mid,608,0.14455780742078284,0.000717437233619389
B,lq_emp_23,Construction LQ,uniform_l2,rich,617,0.06114023931762469,0.0008986610608717749
B,lq_emp_23,Construction LQ,tier_conditional,stub,239,0.018393268247116956,-0.00018453121339889744
B,lq_emp_23,Construction LQ,tier_conditional,thin,1005,0.10185607095902505,-0.0001010943048421753
B,lq_emp_23,Construction LQ,tier_conditional,mid,608,0.14455780742078284,0.011664870620387569
B,lq_emp_23,Construction LQ,tier_conditional,rich,617,0.06114023931762469,0.0051055878955496015
B,lq_emp_23,Construction LQ,tier_conditional_pca64,stub,239,0.018393268247116956,0.008304109924741065
B,lq_emp_23,Construction LQ,tier_conditional_pca64,thin,1005,0.10185607095902505,0.0010408081374667644
B,lq_emp_23,Construction LQ,tier_conditional_pca64,mid,608,0.14455780742078284,0.010962502634032978
B,lq_emp_23,Construction LQ,tier_conditional_pca64,rich,617,0.06114023931762469,0.015475372036737989
B,lq_emp_23,Construction LQ,tier_conditional_l2,stub,239,0.018393268247116956,0.0005964660733378535
B,lq_emp_23,Construction LQ,tier_conditional_l2,thin,1005,0.10185607095902505,-0.0005931768992951669
B,lq_emp_23,Construction LQ,tier_conditional_l2,mid,608,0.14455780742078284,0.004747392604063649
B,lq_emp_23,Construction LQ,tier_conditional_l2,rich,617,0.06114023931762469,0.005078441171682213
B,lq_emp_23,Construction LQ,tier_conditional_inverse,stub,239,0.018393268247116956,0.0038249763559630168
B,lq_emp_23,Construction LQ,tier_conditional_inverse,thin,1005,0.10185607095902505,0.0007675472770660718
B,lq_emp_23,Construction LQ,tier_conditional_inverse,mid,608,0.14455780742078284,0.0020750631874232317
B,lq_emp_23,Construction LQ,tier_conditional_inverse,rich,617,0.06114023931762469,0.0008374241084242451
B,lq_emp_23,Construction LQ,tier_conditional_inverse_pca64,stub,239,0.018393268247116956,0.0021637147920433586
B,lq_emp_23,Construction LQ,tier_conditional_inverse_pca64,thin,1005,0.10185607095902505,4.970486635169635e-06
B,lq_emp_23,Construction LQ,tier_conditional_inverse_pca64,mid,608,0.14455780742078284,0.0003454255628700942
B,lq_emp_23,Construction LQ,tier_conditional_inverse_pca64,rich,617,0.06114023931762469,0.0007360928978831227
B,lq_emp_23,Construction LQ,tier_conditional_inverse_l2,stub,239,0.018393268247116956,0.006435174268717758
B,lq_emp_23,Construction LQ,tier_conditional_inverse_l2,thin,1005,0.10185607095902505,-0.0018122953772519157
