pillar,column,variant,tier,n,r2_baseline,lift
B,lq_emp_51,sections_x_tier,rich,509,0.1636602393606732,0.005237945627414309
B,lq_emp_51,pca50,stub,165,-0.1453953460358146,-0.018270543465315647
B,lq_emp_51,pca50,thin,753,-0.0616509101551177,0.013705004965336443
B,lq_emp_51,pca50,mid,487,-0.06656331565823481,0.002934606090541525
B,lq_emp_51,pca50,rich,509,0.1636602393606732,0.005150154966440668
B,lq_emp_51,full,stub,165,-0.1453953460358146,-0.012176375334012057
B,lq_emp_51,full,thin,753,-0.0616509101551177,0.01267294984130074
B,lq_emp_51,full,mid,487,-0.06656331565823481,0.010358667264856791
B,lq_emp_51,full,rich,509,0.1636602393606732,0.01581979498477115
B,lq_emp_52,length,stub,221,0.0693892115141499,-0.000905624963849494
B,lq_emp_52,length,thin,1056,0.10332073579635481,0.0005570026112676763
B,lq_emp_52,length,mid,666,0.04272679289480785,0.00147080680328171
B,lq_emp_52,length,rich,695,0.17253583981049525,0.0016550459947177742
B,lq_emp_52,extracted_min,stub,221,0.0693892115141499,0.0014026252869406841
B,lq_emp_52,extracted_min,thin,1056,0.10332073579635481,0.011787362297093762
B,lq_emp_52,extracted_min,mid,666,0.04272679289480785,0.00339823610507084
B,lq_emp_52,extracted_min,rich,695,0.17253583981049525,0.00761359178864307
B,lq_emp_52,extracted_mid,stub,221,0.0693892115141499,0.0038481614223119243
B,lq_emp_52,extracted_mid,thin,1056,0.10332073579635481,0.011444323436663906
B,lq_emp_52,extracted_mid,mid,666,0.04272679289480785,0.0016632272643374302
B,lq_emp_52,extracted_mid,rich,695,0.17253583981049525,0.00601454583973593
B,lq_emp_52,extracted_full,stub,221,0.0693892115141499,-0.005266711480194308
B,lq_emp_52,extracted_full,thin,1056,0.10332073579635481,0.01107048213001427
B,lq_emp_52,extracted_full,mid,666,0.04272679289480785,0.00766229351136305
B,lq_emp_52,extracted_full,rich,695,0.17253583981049525,0.00502857252018829
B,lq_emp_52,extracted_sections,stub,221,0.0693892115141499,-0.0053457648817252235
B,lq_emp_52,extracted_sections,thin,1056,0.10332073579635481,0.008195489383689303
B,lq_emp_52,extracted_sections,mid,666,0.04272679289480785,0.008350332129968274
B,lq_emp_52,extracted_sections,rich,695,0.17253583981049525,-3.173772922449025e-05
B,lq_emp_52,sections_x_tier,stub,221,0.0693892115141499,0.009053149329644183
B,lq_emp_52,sections_x_tier,thin,1056,0.10332073579635481,0.006423533623201472
B,lq_emp_52,sections_x_tier,mid,666,0.04272679289480785,0.00017391928911181243
B,lq_emp_52,sections_x_tier,rich,695,0.17253583981049525,0.0038325569837845963
B,lq_emp_52,pca50,stub,221,0.0693892115141499,-0.015110567114121398
B,lq_emp_52,pca50,thin,1056,0.10332073579635481,0.0023065128750999753
B,lq_emp_52,pca50,mid,666,0.04272679289480785,-0.011283540869226893
B,lq_emp_52,pca50,rich,695,0.17253583981049525,0.0071237990085510905
B,lq_emp_52,full,stub,221,0.0693892115141499,-0.0050275595667694795
B,lq_emp_52,full,thin,1056,0.10332073579635481,0.005578541849862728
B,lq_emp_52,full,mid,666,0.04272679289480785,0.0011821635830633337
B,lq_emp_52,full,rich,695,0.17253583981049525,0.006225677615961489
B,lq_emp_53,length,stub,199,-0.033525517812667216,0.01776736546546398
B,lq_emp_53,length,thin,972,0.20499787894776822,-0.0010756260767786907
B,lq_emp_53,length,mid,623,0.24791965249417203,0.0004903288794373406
B,lq_emp_53,length,rich,659,0.2867479042019613,0.0022162247142163416
B,lq_emp_53,extracted_min,stub,199,-0.033525517812667216,0.006154415359927334
B,lq_emp_53,extracted_min,thin,972,0.20499787894776822,-0.00034919783510245495
B,lq_emp_53,extracted_min,mid,623,0.24791965249417203,-2.358930804691184e-06
B,lq_emp_53,extracted_min,rich,659,0.2867479042019613,0.0017829221697612807
B,lq_emp_53,extracted_mid,stub,199,-0.033525517812667216,0.008578763545346701
B,lq_emp_53,extracted_mid,thin,972,0.20499787894776822,0.000732524668981549
B,lq_emp_53,extracted_mid,mid,623,0.24791965249417203,-0.0008040385583323317
B,lq_emp_53,extracted_mid,rich,659,0.2867479042019613,-0.002700318446530181
B,lq_emp_53,extracted_full,stub,199,-0.033525517812667216,0.006297056364144682
B,lq_emp_53,extracted_full,thin,972,0.20499787894776822,0.0010855268175369304
B,lq_emp_53,extracted_full,mid,623,0.24791965249417203,-0.0077074495951191535
B,lq_emp_53,extracted_full,rich,659,0.2867479042019613,0.007227963811207827
B,lq_emp_53,extracted_sections,stub,199,-0.033525517812667216,0.007321231552875451
B,lq_emp_53,extracted_sections,thin,972,0.20499787894776822,0.0005802495347810854
B,lq_emp_53,extracted_sections,mid,623,0.24791965249417203,-0.0008736617677989056
B,lq_emp_53,extracted_sections,rich,659,0.2867479042019613,0.008051170438877708
B,lq_emp_53,sections_x_tier,stub,199,-0.033525517812667216,0.03215929414760277
B,lq_emp_53,sections_x_tier,thin,972,0.20499787894776822,0.0031701267534701705
B,lq_emp_53,sections_x_tier,mid,623,0.24791965249417203,-0.004220557805723835
B,lq_emp_53,sections_x_tier,rich,659,0.2867479042019613,0.00928518177990778
B,lq_emp_53,pca50,stub,199,-0.033525517812667216,0.0029456744282974068
B,lq_emp_53,pca50,thin,972,0.20499787894776822,0.002275380459466292
B,lq_emp_53,pca50,mid,623,0.24791965249417203,0.004329403911799812
B,lq_emp_53,pca50,rich,659,0.2867479042019613,0.004834567175892923
B,lq_emp_53,full,stub,199,-0.033525517812667216,0.006126839351777935
B,lq_emp_53,full,thin,972,0.20499787894776822,0.0027224584096071647
B,lq_emp_53,full,mid,623,0.24791965249417203,0.003902970225768576
B,lq_emp_53,full,rich,659,0.2867479042019613,0.006130989795527286
B,lq_emp_54,length,stub,186,0.004342691395660125,-0.009901748679040479
B,lq_emp_54,length,thin,901,0.13232144249284317,0.0013522661013167792
B,lq_emp_54,length,mid,575,0.1408931982639242,0.0008292194868776415
B,lq_emp_54,length,rich,606,0.43998934438181037,0.02047392450514718
B,lq_emp_54,extracted_min,stub,186,0.004342691395660125,-0.011398859343697332
B,lq_emp_54,extracted_min,thin,901,0.13232144249284317,0.008140151084616964
B,lq_emp_54,extracted_min,mid,575,0.1408931982639242,0.004393703355891954
B,lq_emp_54,extracted_min,rich,606,0.43998934438181037,0.02112480045971432
B,lq_emp_54,extracted_mid,stub,186,0.004342691395660125,-0.01190709327909234
B,lq_emp_54,extracted_mid,thin,901,0.13232144249284317,0.005395802046793685
B,lq_emp_54,extracted_mid,mid,575,0.1408931982639242,-1.3048438553320274e-05
B,lq_emp_54,extracted_mid,rich,606,0.43998934438181037,0.011921725646093506
B,lq_emp_54,extracted_full,stub,186,0.004342691395660125,-0.007303880807413954
B,lq_emp_54,extracted_full,thin,901,0.13232144249284317,-0.00043523417773549955
B,lq_emp_54,extracted_full,mid,575,0.1408931982639242,-0.0025341994364552756
B,lq_emp_54,extracted_full,rich,606,0.43998934438181037,0.006620184252936867
