county_name,fips_code,total_tons,mean_partner_hhi,tons_quartile,unemployment_velocity,gdp_velocity_pct
"Harding County, South Dakota",46063,1125.8934589,0.04464862208059299,1,0.0,0.023160890486622104
"Hughes County, South Dakota",46065,3233.3687218,0.03891144734786797,2,0.0,0.016882395758852364
"Hutchinson County, South Dakota",46067,2838.5342944000004,0.03476192428918877,2,-0.03333333333333336,0.01775610930540508
"Hyde County, South Dakota",46069,840.7681582,0.03761515821506546,1,-0.16666666666666666,0.02175665767852663
"Jackson County, South Dakota",46071,794.8008719,0.0415706696845583,1,-0.10000000000000009,0.04852486631228497
"Jerauld County, South Dakota",46073,1432.3193532,0.03600050800006977,1,0.10000000000000002,-0.09945512112510124
"Jones County, South Dakota",46075,545.6645384,0.042756142786636385,1,0.03333333333333336,-0.030676425475844888
"Kingsbury County, South Dakota",46077,1691.8877517999997,0.03410306169653439,1,0.1333333333333333,0.003757767062080736
"Lake County, South Dakota",46079,5493.852931799999,0.028474406132894467,3,0.0,0.045551598036626485
"Lawrence County, South Dakota",46081,6089.280395700001,0.037384427562129216,3,0.06666666666666665,0.034880891239418725
"Lincoln County, South Dakota",46083,13557.9110082,0.030835438130989712,4,0.06666666666666665,0.03637531190874964
"Lyman County, South Dakota",46085,1037.794785,0.0449976490449084,1,0.0,-0.031059455413942633
"McCook County, South Dakota",46087,1435.6756138,0.03642779795607759,1,0.06666666666666665,0.04367258758815385
"McPherson County, South Dakota",46089,819.0558679000001,0.04209114354676359,1,0.033333333333333215,-0.09399541485781182
"Marshall County, South Dakota",46091,1121.3023831,0.04177006952313672,1,0.0,0.05845435562958966
"Meade County, South Dakota",46093,4931.3426612,0.04117568135312406,3,0.03333333333333336,0.042066108648218976
"Mellette County, South Dakota",46095,516.8534062,0.04506082904994078,1,0.06666666666666672,0.07790900590228765
"Miner County, South Dakota",46097,823.9143553,0.04258709468874105,1,0.1333333333333333,0.03983209654448692
"Minnehaha County, South Dakota",46099,48871.84478,0.035885940512269524,4,0.06666666666666665,-0.009835798822438964
"Moody County, South Dakota",46101,1544.4921527999998,0.04258792555336599,1,0.0,0.03457674264707944
"Oglala Lakota County, South Dakota",46102,1553.1697439,0.04354085527652818,1,0.36666666666666686,-0.01609478544794142
"Pennington County, South Dakota",46103,21648.8053764,0.03700983225404748,4,0.03333333333333336,0.008976301272882443
"Perkins County, South Dakota",46105,954.2791452,0.04297387719737744,1,0.0,-0.010672083557563309
"Potter County, South Dakota",46107,765.7356848000001,0.04602761187891012,1,0.03333333333333336,-0.16287432613505345
"Roberts County, South Dakota",46109,6989.769136599999,0.03675475535774616,3,0.16666666666666666,0.03275262590886205
"Sanborn County, South Dakota",46111,1637.6560920000002,0.03686516819137778,1,0.03333333333333329,0.03397725494006078
"Spink County, South Dakota",46115,3333.29092,0.029803017118972475,2,0.0,-0.01898022551893431
"Stanley County, South Dakota",46117,826.5436246,0.0392256319332863,1,-0.06666666666666665,-0.005643357148011835
"Sully County, South Dakota",46119,1139.0009132999999,0.03927688004269345,1,0.03333333333333329,-0.18530193236714976
"Todd County, South Dakota",46121,1656.4617913,0.04303236980560858,1,0.36666666666666653,0.0071969983931355385
"Tripp County, South Dakota",46123,1924.0242967,0.04342932547237706,1,-0.03333333333333329,0.03575645134086693
"Turner County, South Dakota",46125,4112.4008139,0.027048792814904743,2,0.06666666666666665,0.050628891001525816
